title,artist,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Eenie Meenie,Sean Kingston,3.349514563106796,3.489795918367347,3.9690721649484537,4.862068965517242,1.5945945945945947,4.387755102040817,1.9379310344827587,1.202020202020202,1.25,3.8686868686868685
The Time (Dirty Bit),The Black Eyed Peas,3.4854368932038833,4.3061224489795915,4.381443298969073,4.586206896551724,4.243243243243244,2.795918367346939,3.4,1.2828282828282829,1.5833333333333335,3.8282828282828283
Alejandro,Lady Gaga,2.9223300970873787,4.26530612244898,3.597938144329897,4.655172413793103,2.945945945945946,2.510204081632653,2.931034482758621,1.0,1.4166666666666667,3.787878787878788
Your Love Is My Drug,Kesha,3.3300970873786406,3.489795918367347,4.422680412371134,4.862068965517242,1.4864864864864864,4.1020408163265305,1.7310344827586208,1.0404040404040404,1.8333333333333335,3.787878787878788
Meet Me Halfway,The Black Eyed Peas,3.5242718446601944,3.5714285714285716,4.298969072164948,4.655172413793103,2.72972972972973,2.63265306122449,3.0689655172413794,1.0,1.5833333333333335,3.7474747474747474
Whataya Want from Me,Adam Lambert,4.611650485436893,3.7755102040816326,2.8144329896907214,4.793103448275862,1.3243243243243243,2.836734693877551,2.282758620689655,1.0404040404040404,1.4166666666666667,3.6666666666666665
Take It Off,Kesha,3.4271844660194173,3.7755102040816326,4.010309278350515,4.793103448275862,1.4864864864864864,4.020408163265306,2.117241379310345,1.0,1.25,3.6666666666666665
Misery,Maroon 5,3.0,4.3061224489795915,3.88659793814433,4.793103448275862,2.1891891891891895,3.979591836734694,2.1310344827586207,1.0,1.3333333333333333,3.6262626262626263
All The Right Moves,OneRepublic,3.8349514563106797,4.877551020408163,3.185567010309278,4.862068965517242,2.5135135135135136,3.6530612244897958,2.43448275862069,2.0505050505050506,1.4166666666666667,3.6262626262626263
Animal,Neon Trees,3.8737864077669903,4.387755102040817,2.979381443298969,4.724137931034482,3.054054054054054,4.020408163265306,2.075862068965517,1.0,1.3333333333333333,3.6262626262626263
Naturally,Selena Gomez & The Scene,3.5825242718446604,4.673469387755102,3.515463917525773,4.793103448275862,1.2702702702702702,4.591836734693878,1.9517241379310346,1.0808080808080809,1.4166666666666667,3.585858585858586
I Like It,Enrique Iglesias,3.504854368932039,4.836734693877551,3.6804123711340204,4.931034482758621,1.3243243243243243,3.979591836734694,2.3379310344827586,1.0808080808080809,1.75,3.5454545454545454
Teenage Dream,Katy Perry,3.3300970873786406,4.26530612244898,3.9690721649484537,4.793103448275862,1.7027027027027026,3.4081632653061225,2.296551724137931,1.0808080808080809,1.3333333333333333,3.5454545454545454
California Gurls,Katy Perry,3.4271844660194173,4.061224489795919,4.257731958762887,4.862068965517242,1.972972972972973,2.63265306122449,2.3931034482758617,1.0,1.4166666666666667,3.505050505050505
3,Britney Spears,3.621359223300971,3.8979591836734695,3.88659793814433,5.0,1.7567567567567568,4.224489795918368,2.089655172413793,1.202020202020202,1.4166666666666667,3.505050505050505
My First Kiss - feat. Ke$ha,3OH!3,3.679611650485437,4.63265306122449,3.804123711340206,4.862068965517242,2.945945945945946,4.387755102040817,1.8,1.0404040404040404,1.6666666666666665,3.505050505050505
Blah Blah Blah (feat. 3OH!3),Kesha,3.3300970873786406,4.428571428571429,4.092783505154639,4.931034482758621,3.27027027027027,3.122448979591837,1.524137931034483,1.3232323232323233,2.0,3.505050505050505
Imma Be,The Black Eyed Peas,2.7864077669902914,3.122448979591837,3.4742268041237114,4.655172413793103,2.6756756756756754,2.673469387755102,2.7103448275862068,1.7272727272727273,4.083333333333334,3.505050505050505
Try Sleeping with a Broken Heart,Alicia Keys,3.1553398058252426,4.346938775510204,3.0618556701030926,4.793103448275862,1.7027027027027026,3.2448979591836733,2.586206896551724,1.6464646464646466,1.9166666666666665,3.505050505050505
Sexy Bitch (feat. Akon),David Guetta,3.5242718446601944,3.5714285714285716,4.340206185567011,4.793103448275862,1.7027027027027026,4.26530612244898,1.8551724137931034,1.3232323232323233,1.4166666666666667,3.4646464646464645
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,4.184466019417476,2.673469387755102,2.195876288659794,4.793103448275862,1.7027027027027026,1.2857142857142856,2.793103448275862,4.353535353535353,1.25,3.4646464646464645
If I Had You,Adam Lambert,3.5436893203883497,4.714285714285714,3.6804123711340204,4.862068965517242,3.0,4.224489795918368,2.296551724137931,1.0404040404040404,1.9166666666666665,3.3838383838383836
Rock That Body,The Black Eyed Peas,3.4271844660194173,4.714285714285714,3.9690721649484537,4.724137931034482,3.324324324324324,4.428571428571429,2.862068965517241,1.0808080808080809,1.8333333333333335,3.3838383838383836
Dog Days Are Over,Florence + The Machine,3.912621359223301,4.3061224489795915,3.0618556701030926,4.793103448275862,1.6486486486486487,2.0612244897959187,2.6413793103448278,1.121212121212121,1.75,3.3434343434343434
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,3.912621359223301,4.469387755102041,3.1030927835051547,4.862068965517242,1.6486486486486487,3.938775510204082,1.703448275862069,2.898989898989899,3.25,3.3434343434343434
Doesn't Mean Anything,Alicia Keys,3.0194174757281553,2.673469387755102,3.9278350515463916,4.655172413793103,1.5405405405405406,1.4081632653061225,2.9172413793103447,1.1616161616161615,1.25,3.303030303030303
Hard,Rihanna,4.533980582524272,4.061224489795919,2.2783505154639174,4.862068965517242,4.513513513513514,1.6530612244897958,2.613793103448276,1.0404040404040404,1.9166666666666665,3.303030303030303
Loca,Shakira,3.174757281553398,4.551020408163265,4.298969072164948,4.862068965517242,1.4864864864864864,4.469387755102041,1.8137931034482757,1.7676767676767677,1.5833333333333335,3.2626262626262625
You Lost Me,Christina Aguilera,1.8349514563106797,2.5918367346938775,1.9484536082474226,4.724137931034482,1.7567567567567568,1.2857142857142856,2.6965517241379313,4.434343434343434,1.3333333333333333,3.2626262626262625
Not Myself Tonight,Christina Aguilera,3.3300970873786406,4.3061224489795915,4.1340206185567006,4.793103448275862,4.027027027027027,3.204081632653061,1.717241379310345,1.0,1.3333333333333333,3.2222222222222223
Written in the Stars (feat. Eric Turner),Tinie Tempah,2.766990291262136,4.877551020408163,3.6391752577319587,4.862068965517242,1.972972972972973,3.326530612244898,2.186206896551724,1.2424242424242424,1.5833333333333335,3.101010101010101
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,3.3300970873786406,4.5102040816326525,3.7216494845360826,4.931034482758621,1.4324324324324325,3.6530612244897958,2.2,1.121212121212121,1.9166666666666665,3.101010101010101
Castle Walls (feat. Christina Aguilera),T.I.,2.5533980582524274,4.5102040816326525,2.8556701030927836,4.793103448275862,2.4054054054054053,3.36734693877551,3.689655172413793,1.2828282828282829,4.25,2.97979797979798
Break Your Heart,Taio Cruz,3.3689320388349513,4.673469387755102,3.7628865979381443,4.793103448275862,1.4324324324324325,3.5714285714285716,1.717241379310345,1.0,1.25,2.333333333333333
Hello,Martin Solveig,3.4854368932038833,5.0,3.7628865979381443,4.931034482758621,1.5405405405405406,2.836734693877551,1.7862068965517242,1.0404040404040404,1.25,1.0
A Thousand Years,Christina Perri,3.6990291262135924,2.673469387755102,2.731958762886598,4.655172413793103,1.5945945945945947,1.6530612244897958,3.0827586206896553,2.2525252525252526,1.25,4.272727272727273
Someone Like You,Adele,3.621359223300971,2.3469387755102042,3.3092783505154637,4.586206896551724,1.5405405405405406,2.142857142857143,3.0827586206896553,4.595959595959596,1.25,4.232323232323232
Give Me Everything,Pitbull,3.504854368932039,4.836734693877551,3.7628865979381443,4.931034482758621,2.621621621621622,3.163265306122449,2.6275862068965514,1.7676767676767677,2.333333333333333,4.191919191919192
Rolling in the Deep,Adele,3.0388349514563107,4.1020408163265305,4.010309278350515,4.793103448275862,1.2702702702702702,3.122448979591837,2.296551724137931,1.5252525252525253,1.25,4.070707070707071
Run the World (Girls),BeyoncÃ©,3.466019417475728,4.673469387755102,4.010309278350515,4.862068965517242,3.0,4.1020408163265305,2.406896551724138,1.0,2.166666666666667,4.070707070707071
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,3.4854368932038833,4.1020408163265305,3.9690721649484537,4.862068965517242,2.72972972972973,3.5306122448979593,1.9241379310344828,1.0404040404040404,1.4166666666666667,4.070707070707071
Love On Top,BeyoncÃ©,2.825242718446602,4.061224489795919,3.6804123711340204,4.793103448275862,4.243243243243244,3.6530612244897958,2.8344827586206893,1.3232323232323233,1.75,4.070707070707071
Grenade,Bruno Mars,3.1359223300970873,3.2857142857142856,3.9278350515463916,4.655172413793103,1.6486486486486487,1.9387755102040818,2.227586206896552,1.606060606060606,1.5,4.03030303030303
Tonight Tonight,Hot Chelle Rae,2.941747572815534,4.183673469387755,3.845360824742268,4.793103448275862,1.864864864864865,4.3061224489795915,1.910344827586207,1.3232323232323233,2.0,4.03030303030303
What the Hell,Avril Lavigne,3.912621359223301,4.795918367346939,3.3917525773195876,4.862068965517242,1.7567567567567568,4.591836734693878,2.2,1.0,1.4166666666666667,3.98989898989899
Born This Way,Lady Gaga,3.407766990291262,4.387755102040817,3.4329896907216493,4.793103448275862,2.7837837837837838,3.0,2.7379310344827585,1.0,2.333333333333333,3.9494949494949494
Monster,Kanye West,3.4271844660194173,3.816326530612245,3.597938144329897,4.724137931034482,4.621621621621621,1.4081632653061225,4.379310344827586,1.0,2.666666666666667,3.9494949494949494
Best Thing I Never Had,BeyoncÃ©,2.9223300970873787,3.6530612244897958,3.268041237113402,4.862068965517242,1.4864864864864864,2.2244897959183674,2.655172413793103,1.5656565656565657,1.25,3.9494949494949494
Party Rock Anthem,LMFAO,3.5242718446601944,4.020408163265306,4.092783505154639,4.862068965517242,2.4594594594594597,2.428571428571429,2.7655172413793103,1.0808080808080809,2.333333333333333,3.909090909090909
We R Who We R,Kesha,3.3300970873786406,4.346938775510204,4.051546391752577,4.793103448275862,1.6486486486486487,3.6530612244897958,1.9793103448275862,1.0404040404040404,1.3333333333333333,3.909090909090909
Price Tag,Jessie J,4.398058252427184,4.387755102040817,3.6391752577319587,4.862068965517242,2.4594594594594597,3.7755102040816326,2.227586206896552,1.121212121212121,2.5,3.909090909090909
Good Life,OneRepublic,2.8446601941747574,3.816326530612245,3.597938144329897,4.586206896551724,1.7027027027027026,3.6530612244897958,2.6413793103448278,1.3232323232323233,1.4166666666666667,3.909090909090909
Just CanÂt Get Enough,The Black Eyed Peas,2.825242718446602,3.5714285714285716,3.7216494845360826,4.517241379310345,1.5945945945945947,2.0612244897959187,2.1724137931034484,1.7676767676767677,2.5,3.8686868686868685
On The Floor,Jennifer Lopez,3.5242718446601944,4.183673469387755,4.010309278350515,4.793103448275862,1.3783783783783785,3.326530612244898,3.0827586206896553,1.4444444444444444,1.4166666666666667,3.787878787878788
What's My Name?,Rihanna,2.941747572815534,4.224489795918368,3.845360824742268,4.931034482758621,1.4324324324324325,3.36734693877551,2.779310344827586,1.9292929292929293,1.5833333333333335,3.787878787878788
Yeah 3x,Chris Brown,3.5242718446601944,4.591836734693878,3.9278350515463916,4.931034482758621,1.4864864864864864,3.857142857142857,2.4896551724137934,1.0,1.3333333333333333,3.787878787878788
Without You (feat. Usher),David Guetta,3.4854368932038833,3.489795918367347,3.515463917525773,4.862068965517242,1.864864864864865,2.63265306122449,2.020689655172414,1.9292929292929293,1.25,3.7474747474747474
Sexy And I Know It,LMFAO,3.5242718446601944,4.5102040816326525,3.9278350515463916,4.862068965517242,2.027027027027027,4.26530612244898,1.896551724137931,1.404040404040404,3.6666666666666665,3.707070707070707
